UBIGEO,PORCENTAJE_1_3_2017,PORCENTAJE_1_3_2022,PORCENTAJE_1_3_2023
030417,0,0,0
030501,0,0,0
030502,0,0,0
030503,0,0,0
030504,0,0,0
030505,0,0,0
030506,0,0,0
030601,0,0,0
030602,1,1,1
030603,0,0,0
030604,0,0,0
030605,0,0,0
030606,0,0,0
030607,0,0,0
030608,0,0,0
030609,0,0,0
030610,0,0,0
030611,0,0,0
030701,1,1,1
030702,0,0,0
030703,0,0,0
030704,0,0,0
030705,0,0,0
030706,0,0,0
030707,0,0,0
030708,0,0,0
030709,0,0,0
030710,0,0,0
030711,0,0,0
030712,0,0,0
030713,0,0,0
030714,0,0,0
040101,0.25,0.25,0.25
040102,0,0,0
040103,0.33,0.33,0.33
040104,0.46,0.46,0.46
040105,0,0,0
040106,0,0,0
040107,0.5,0.5,0.5
040108,0,0,0
040109,0,0,0
040110,0.14,0.14,0.14
040111,0,0,0
040112,0.08,0.08,0.08
040113,0,0,0
040114,0,0,0
040115,0,0,0
040116,0,0,0
040117,0,0,0
040118,0,0,0
040119,0,0,0
040120,0,0,0
040121,0,0,0
040122,0,0,0
040123,1,1,1
040124,0,0,1
040125,0,0,0
040126,0.5,0.5,0.5
040127,0,0,0
040128,0,0,0
040129,0.47,0.47,0.47
040201,0.5,0.5,0.5
040202,0,0,0
040203,0,0,0
040204,0,0,0
040205,0,0,0
040206,0,0,0
040207,0,0,0
040208,0,0,0
040301,0,0,0
040302,0,0,0
040303,0,0,0
040304,0,0,0
040305,0,0,0
040306,0,0,0
040307,0,0,0
040308,0,0,0
040309,0,0,0
040310,0,0,0
040311,0,0,0
040312,0,0,0
040313,0,0,0
040401,0,0,0
040402,0,0,0
040403,0,0,0
040404,0,0,0
040405,0,0,0
040406,0,0,0
040407,0,0,0
040408,0,0,0
040409,0,0,0
040410,0,0,0
040411,0,0,0
040412,0,0,0
040413,0,0,0
040414,0,0,0
040501,0,0,0
040502,0,0,0
040503,0,0,0
040504,0,0,0
040505,0,0,0
040506,0,0,0
040507,0,0,0
040508,0,0,0
040509,0,0,0
040510,0,0,0
040511,0,0,0
040512,0,0,0
040513,0,0,0
040514,0,0,0
040515,0,0,0
040516,0,0,0
040517,0,0,0
040518,0,0,0
040519,0,0,0
040520,0.4,0.5,0.5
040601,0,0,0
040602,0,0,0
040603,0,0,0
040604,0,0,0
040605,0,0,0
040606,0,0,0
040607,0,0,0
040608,0,0,0
040701,0.4,0.4,0.4
040702,1,1,1
040703,0,0,0
040704,0,0,0
040705,0,0,0
040706,0,0,0
040801,0,0,0
040802,0,0,0
040803,0,0,0
040804,0,0,0
040805,0,0,0
040806,0,0,0
040807,0,0,0
040808,0,0,0
040809,0,0,0
040810,0,0,0
040811,0,0,0
050101,0.07,0.07,0.07
050102,0,0,0
050103,0,0,0
050104,0,0,0
050105,0,0,0
050106,0,0,0
050107,0,0,0
050108,0,0,0
050109,0,0,0
050110,0.5,0.5,0.5
050111,0,0,0
050112,0,0,0
050113,0,0,0
050114,0,0,0
050115,0,0,0
050116,1,1,1
050201,0,0,0
050202,0,0,0
050203,0,0,0
050204,0,0,0
050205,0,0,0
050206,0,0,0
050301,0,0,0
050302,0,0,0
050303,0,0,0
050304,0,0,0
050401,0,0,0
050402,0,0,0
050403,0,0,0
050404,0,0,0
050405,0,0,0
050406,0,0,0
050407,0,0,0
050408,0,0,0
050409,0,0,0
050410,0,0,0
050411,0,0,0
050412,0,0,0
050501,1,1,1
050502,0,0,0
050503,1,1,1
050504,0,0,0
050505,0,0,0
050506,0,0,0
050507,0,0,0
050508,1,1,1
050509,1,1,1
050510,0,0,0
050511,0,0,0
050601,0.33,0.33,0.33
050602,0,0,0
050603,0,0,0
050604,0,0,0
050605,0,0,0
050606,0,0,0
050607,0,0,0
050608,0,0,0
050609,0,0,0
050610,0,0,0
050611,0,0,0
050612,0,0,0
050613,0,0,0
050614,0,0,0
050615,0,0,0
050616,0,0,0
050617,0,0,0
050618,0,0,0
050619,0,0,0
050620,0,0,0
050621,0,0,0
050701,1,1,1
050702,0,0,0
050703,0,0,0
050704,0,0,0
050705,0,0,0
050706,0,0,0
050707,0,0,0
050708,0,0,0
050801,0,0,0
050802,0,0,0
050803,0,0,0
050804,0,0,0
050805,0,0,0
050806,0,0,0
050807,0,0,0
050808,0,0,0
050809,0,0,0
050810,0,0,0
050901,0,0,0
050902,0,0,0
050903,0,0,0
050904,0,0,0
050905,0,0,0
050906,0,0,0
050907,0,0,0
050908,0,0,0
050909,0,0,0
050910,0,0,0
050911,0,0,0
051001,0,0,0
051002,0,0,0
051003,0,0,0
051004,0,0,0
051005,0,0,0
051006,0,0,0
051007,0,0,0
051008,0,0,0
051009,0,0,0
051010,0,0,0
051011,0,0,0
051012,0,0,0
051101,0,0,0
051102,0,0,0
051103,0,0,0
051104,0,0,0
051105,0,0,0
051106,0,0,0
051107,0,0,0
051108,0,0,0
060101,0,0,0
060102,0,0,0
060103,0,0,0
060104,0,0,0
060105,0,0,0
060106,0,0,0
060107,0,0,0
060108,0,0,0
060109,0,0,0
060110,0,0,0
060111,0,0,0
060112,0,0,0
060201,0,1,1
060202,0,0,0
060203,0,0,0
060204,0,0,0
060301,0.5,0.5,0.5
060302,0,0,0
060303,0,0,0
060304,0,0,0
060305,0,0,0
060306,0,0,0
060307,0,0,0
060308,0,0,0
060309,0,0,0
060310,0,0,0
060311,0,0,0
060312,0,0,0
060401,0,0,0
060402,0,0,0
060403,0,0,0
060404,0,0,0
060405,0,0,0
060406,0,0,0
060407,0,0,0
060408,0,0,0
060409,0,0,0
060410,0,0,0
060411,0,0,0
060412,0,0,0
060413,0,0,0
060414,0,0,0
060415,0,0,0
060416,0,0,0
060417,0,0,0
060418,0,0,0
060419,0,0,0
060501,1,1,1
060502,0,0,0
060503,0,0,0
060504,0,0,0
060505,0,0,0
060506,0,0,0
060507,0,0,0
060508,0,0,0
060601,0.2,0.2,0.2
060602,0,0,0
060603,0,0,0
060604,0,0,0
060605,0,0,0
060606,0,0,0
060607,0,0,0
060608,0,0,0
060609,0,0,0
060610,0,0,0
060611,0,0,0
060612,0,0,0
060613,0,0,0
060614,1,1,1
060615,0,0,0
060701,0,0,0
060702,0,0,0
060703,0,0,0
060801,0,0,0
060802,0,0,0
060803,0,0,0
060804,0,0,0
060805,0,0,0
060806,0,0,0
060807,0,0,0
060808,0,0,0
060809,0,0,0
060810,0,0,0
060811,0,0,0
060812,0,0,0
060901,1,1,1
060902,0,0,0
060903,0,0,0
060904,0,0,0
060905,0,0,0
060906,0,0,0
060907,0,0,0
061001,0,0,0
061002,0,0,0
061003,0,0,0
061004,0,0,0
061005,0,0,0
061006,0,0,0
061007,0,0,0
061101,1,1,1
061102,0,0,0
061103,0,0,0
061104,0,0,0
061105,0,0,0
061106,0,0,0
061107,0,0,0
061108,0,0,0
061109,0,0,0
061110,0,0,0
061111,0,0,0
061112,0,0,0
061113,0,0,0
061201,0,0,0
061202,0,0,0
061203,0,0,0
061204,0,0,0
061301,0,0,0
061302,0,0,0
061303,0,0,0
061304,0,0,0
061305,0,0,0
061306,0,0,0
061307,0,0,0
061308,0,0,0
061309,0,0,0
061310,0,0,0
061311,0,0,0
070101,0.03,0.03,0.03
070102,0,0,0
070103,0,0,0
070104,0,0,0
070105,0,0,0
070106,0.02,0.02,0.02
070107,0.14,0.14,0.14
080101,0.38,0.38,0.38
080102,0,0,0
080103,0,0,0
080104,1,1,1
080105,0.25,0.25,0.25
080106,0.8,0.8,0.8
080107,0,0,0
080108,0,0,0
080201,0,0,0
080202,0,0,0
080203,0,0,0
080204,0,0,0
080205,0,0,0
080206,0,0,0
080207,0,0,0
080301,1,1,1
080302,0,0,0
080303,0,0,0
080304,0,0,0
080305,0,0,0
080306,0,0,0
080307,0,0,0
080308,1,1,1
080309,1,1,1
080401,0.33,0.33,0.33
080402,0,0,0
080403,0,0,0
080404,0,0,0
080405,0,0,0
080406,0,0,0
080407,0,0,0
080408,0,0,0
080501,0,0,0
080502,0,0,0
080503,0,0,0
080504,0,0,0
080505,0,0,0
080506,0,0,0
080507,0,0,0
080508,0,0,0
080601,0,0,0
080602,0,0,0
080603,0,0,0
080604,0,0,0
080605,0,0,0
080606,0,0,0
080607,0,0,0
080608,0,0,0
080701,0,0,0
080702,0,0,0
080703,0,0,0
080704,0,0,0
080705,0,0,0
080706,0,0,0
080707,0,0,0
080708,0,0,0
080801,0,0,0
080802,0,0,0
080803,0,0,0
080804,0,0,0
080805,0,0,0
080806,0,0,0
080807,0,0,0
080808,0,0,0
080901,0,0,0
080902,0,0,0
080903,0,0,0
080904,0,0,0
080905,0,0,0
080906,0,0,0
080907,0,0,0
080908,0,0,0
080909,0,0,0
080910,0,0,0
080911,0,0,0
080912,0,0,0
080913,0,0,0
080914,0,0,0
081001,1,1,1
081002,0,0,0
081003,0,0,0
081004,0,0,0
081005,0,0,0
081006,0,0,0
081007,0,0,0
081008,0,0,0
081009,0,0,0
081101,1,1,1
081102,0,0,0
081103,0,0,0
081104,0,0,0
081105,0,0,0
081106,0.5,0.5,0.5
081201,0,0,0
081202,1,1,1
081203,0,0,0
081204,0,0,0
081205,0,0,0
081206,0,0,0
081207,0,0,0
081208,1,1,1
081209,0,0,0
081210,1,1,1
081211,0,0,0
081212,0,0,0
081301,0,0,0
081302,0,0,0
081303,0,0,0
081304,0,0,0
081305,0,0,0
081306,0,0,0
081307,0,0,0
090101,0,0,0
090102,0,0,0
090103,0,0,0
090104,0,0,0
090105,0,0,0
090106,0,0,0
090107,0,0,0
090108,0,0,0
090109,0,0,0
090110,0,0,0
090111,0,0,0
090112,0,0,0
090113,0,0,0
090114,0,0,0
090115,0,0,0
090116,0,0,0
090117,0,0,0
090118,0,0,0
090119,0,0,0
090201,1,1,1
090202,0,0,0
090203,0,0,0
090204,0,0,0
090205,0,0,0
090206,1,1,1
090207,0,0,0
090208,0,0,0
090301,0,0,0
090302,0,0,0
090303,0,0,0
090304,0,0,0
090305,0,0,0
090306,0,0,0
090307,0,0,0
090308,0,0,0
090309,0,0,0
090310,0,0,0
090311,0,0,0
090312,0,0,0
090401,0,0,0
090402,0,0,0
090403,0,0,0
090404,0,0,0
090405,0,0,0
090406,0,0,0
090407,0,0,0
090408,0,0,0
090409,0,0,0
090410,0,0,0
090411,0,0,0
090412,0,0,0
090413,0,0,0
090501,0,0,0
090502,0,0,0
090503,0,0,0
090504,0,0,0
090505,0,0,0
090506,0,0,0
090507,0,0,0
090508,0,0,0
090509,0,0,0
090510,0,0,0
090511,0,0,0
090601,0,0,0
090602,0,0,0
090603,0,0,0
090604,0,0,0
090605,0,0,0
090606,0,0,0
090607,0,0,0
090608,0,0,0
090609,0,0,0
090610,0,0,0
090611,0,0,0
090612,0,0,0
090613,0,0,0
090614,0,0,0
090615,0,0,0
090616,0,0,0
090701,0,0,0
090702,0,0,0
090703,0,0,0
090704,0,0,0
090705,0,0,0
090706,0,0,0
090707,0,0,0
090709,0,0,0
090710,0,0,0
090711,0,0,0
090713,0,0,0
090714,0,0,0
090715,0,0,0
090716,0,0,0
090717,0,0,0
090718,0,0,0
090719,0,0,0
090720,0,0,0
090721,0,0,0
090722,0,0,0
090723,0,0,0
100101,0.17,0.17,0.17
100102,0.43,0.43,0.43
100103,0,0,0
100104,0,0,0
100105,0,0,0
100106,0,0,0
100107,0,0,0
100108,0,0,0
100109,0,0,0
100110,0,0,0
100111,0,0,0
100112,0,0,0
100113,0,0,0
100201,0,0,0
100202,0,0,0
100203,0,0,0
100204,0,0,0
100205,0,0,0
100206,0,0,0
100207,0,0,0
100208,0,0,0
100301,0,0,0
100307,0,0,0
100311,0,0,0
100313,0,0,0
100316,0,0,0
100317,1,1,1
100321,0,0,0
100322,0,0,0
100323,0,0,0
100401,0,0,0
100402,0,0,0
100403,0,0,0
100404,0,0,0
100501,0,0,0
100502,0,0,0
100503,0,0,0
100504,0,0,0
100505,0,0,0
100506,0,0,0
100507,0,0,0
100508,0,0,0
100509,0,0,0
100510,0,0,0
100511,0,0,0
100601,0.4,0.4,0.4
100602,0,0,0
100603,0,0,0
100604,0,0,0
100605,0,0,0
100606,0,0,0
100607,0,0,0
100608,0,0,0
100609,0,0,0
100610,0,0,0
100701,0,0,0
100702,0,0,0
100703,0,0,0
100704,0,0,0
100705,0,0,0
100801,0,0,0
100802,0,0,0
100803,0,0,0
100804,0,0,0
100901,0,0,0
100902,0,0,0
100903,0,0,0
100904,0,0,0
100905,0,0,0
101001,0,0,0
101002,0,0,0
101003,0,0,0
101004,0,0,0
101005,0,0,0
101006,0,0,0
101007,0,0,0
101101,0,0,0
101102,0,0,0
101103,0,0,0
101104,0,0,0
101105,0,0,0
101106,0,0,0
101107,0,0,0
101108,0,0,0
110101,0.5,0.5,0.5
110102,0.75,0.75,0.75
110103,0,0,0
110104,0,0,0
110105,0,0,0
110106,0.17,0.17,0.17
110107,0,0,0
110108,0,0,0
110109,0,0,0
110110,0,0,0
110111,0,0,0
110112,0,0,0
110113,0,0,0
110114,0,0,0
110201,1,1,1
110202,0,0,0
110203,0,0,0
110204,0,0,0
110205,0,0,0
110206,0,0,0
110207,0.33,0.33,0.33
110208,0,0,0
110209,0,0,0
110210,0,0,0
110211,0,0,0
110301,0,0,0
110302,0,0,0
110303,0,0,0
110304,0,0,0
110305,0,0,0
110401,0,0,0
110402,0,0,0
110403,0,0,0
110404,0,0,0
110405,0,0,0
110501,1,1,1
110502,0,0,0
110503,0,0,0
110504,0,0,0
110505,0,0,0
110506,0,0,0
110507,0,0,0
110508,1,1,1
120101,0.37,0.37,0.37
120104,0,0,0
120105,0,0,0
120106,0,0,0
120107,0,0,0
120108,0,0,0
120111,0,0,0
120112,0,0,0
120113,0,0,0
120114,0,0,0
120116,0,0,0
120117,0,0,0
120119,0,0,0
120120,0,0,0
120121,0,0,0
120122,0,0,0
120124,0,0,0
120125,0,0,0
120126,0,0,0
120127,0,0,0
120128,0,0,0
120129,0,0,0
120130,0,0,0
120132,0,0,0
120133,1,1,1
120134,0,0,0
120135,0,0,0
120136,0,0,0
120201,0,0,0
120202,0,0,0
120203,0,0,0
120204,0,0,0
120205,0,0,0
120206,0,0,0
120207,0,0,0
120208,0,0,0
120209,0,0,0
120210,0,0,0
120211,0,0,0
120212,0,0,0
120213,0,0,0
120214,0,0,0
120215,0,0,0
120301,0,0,0
120302,0.33,0.33,0.33
120303,0.33,0.33,0.33
120304,0,0,0
120305,0,0,0
120306,0,0,0
120401,0.25,0.25,0.25
120402,0,0,0
120403,0,0,0
120404,0,0,0
120405,0,0,0
120406,0,0,0
120407,0,0,0
120408,0,0,0
120409,0,0,0
120410,0,0,0
120411,0,0,0
120412,0,0,0
120413,0,0,0
120414,0,0,0
120415,0,0,0
120416,0,0,0
120417,0,0,0
120418,0,0,0
120419,0,0,0
120420,0,0,0
120421,0,0,0
120422,0,0,0
120423,0,0,0
120424,0,0,0
120425,0,0,0
120426,0,0,0
120427,0,0,0
120428,0,0,0
120429,0,0,0
120430,0,0,0
120431,0,0,0
120432,0,0,0
120433,0,0,0
120434,0,0,0
120501,0,0,0
120502,0,0,0
120503,0,0,0
120504,0,0,0
120601,0.2,0.2,0.2
120602,0,0,0
120603,0,0,0
120604,0,0,0
120605,0,0,0
120606,0,0,0
120607,0,0,0
120608,0,0,0
120609,0,0,0
120701,0.14,0.14,0.14
120702,1,1,1
120703,0,0,0
120704,0,0,0
120705,0,0,0
120706,0,0,0
120707,0,0,0
120708,0,0,0
120709,0,0,0
120801,0.4,0.4,0.4
120802,0,0,0
120803,0,0,0
120804,0,0,0
120805,0,0,0
120806,0,0,0
120807,0,0,0
120808,0,0,0
120809,0,0,0
120810,0,0,0
120901,0,0,0
120902,0,0,0
120903,0,0,0
120904,0,0,0
120905,0,0,0
120906,0,0,0
120907,0,0,0
120908,0,0,0
120909,0,0,0
130101,0.12,0.12,0.12
130102,0.09,0.09,0.09
130103,0,0,0
130104,0,0,0
130105,0,0,0
130106,0,0,0
130107,0.25,0.25,0.25
130108,0,0,0
130109,0,0,0
130110,0,0,0
130111,0.17,0.17,0.17
130201,0,0,0
130202,0,0,0
130203,0,0,0
130204,0,0,0
130205,0.5,0.5,0.5
130206,0,0,0
130207,0,0,0
130208,0,0,0
130301,0,0,0
130302,0,0,0
130303,0,0,0
130304,0,0,0
130305,0,0,0
130306,0,0,0
130401,0,0,0
130402,0,0,0
130403,0,0,0
130501,0,0,0
130502,0,0,0
130503,0,0,0
130504,0,0,0
130601,0,0,0
130602,0,0,0
130604,0,0,0
130605,0,0,0
130606,0,0,0
130608,0,0,0
130610,0,0,0
130611,0,0,0
130613,0,0,0
130614,0,0,0
130701,0,0,0
130702,0,0,0
130703,0,0,0
130704,0,0,0
130705,0,0,0
130801,0,0,0
130802,0,0,0
130803,0,0,0
130804,0,0,0
130805,0,0,0
130806,0,0,0
130807,0,0,0
130808,0,0,0
130809,0,0,0
130810,0,0,0
130811,0,0,0
130812,0,0,0
130813,0,0,0
130901,0.5,0.5,0.5
130902,0,0,0
130903,0,0,0
130904,0,0,0
130905,0,0,0
130906,0,0,0
130907,0,0,0
130908,0,0,0
131001,0,0,0
131002,0,0,0
131003,0,0,0
131004,0,0,0
131005,0,0,0
131006,0,0,0
131007,0,0,0
131008,0,0,0
131101,0,0,0
131102,0,0,0
131103,0,0,0
131104,0,0,0
131201,0,0,0
131202,0,0,0
131203,0,0,0
140101,0,0,0
140102,0,0,0
140103,0,0,0
140104,0,0,0
140105,0.17,0.17,0.17
140106,0,0,0
140107,0,0,0
140108,0.33,0.33,0.33
140109,0,0,0
140110,0,0,0
140111,0,0,0
140112,0,0,0
140113,0,0,0
140114,0,0,0
140115,0,0,0
140116,0.5,0.5,0.5
140117,0,0,0
140118,0,0,0
140119,0,0,0
140120,0,0,0
140201,0.5,0.5,0.5
140202,0,0,0
140203,0,0,0
140204,0,0,0
140205,0,0,0
140206,0,0,0
140301,0,0,0
140302,0,0,0
140303,0,0,0
140304,0,0,0
140305,0,0,0
140306,0,0,0
140307,0,0,0
140308,0,0,0
140309,0,0,0
140310,0,0,0
140311,0,0,0
140312,0,0,0
150101,0.04,0.04,0.04
150102,0,0,0
150103,0.03,0.03,0.03
150104,0.2,0.2,0.2
150105,0.05,0.05,0.05
150106,0.04,0.04,0.04
150107,0,0,0
150108,0.17,0.17,0.17
150109,0,0,0
150110,0.04,0.04,0.04
150111,0,0,0
150112,0,0,0
150113,0,0,0
150114,0,0,0
150115,0.09,0.09,0.09
150116,0,0,0
150117,0.09,0.09,0.09
150118,0,0,0
150119,0.15,0.15,0.15
150120,0,0,0
150121,0,0,0
150122,0,0,0
150123,0.2,0.2,0.2
150124,0,0,0
150125,0.11,0.11,0.11
150126,0,0,0
150127,0,0,0
150128,0.08,0.08,0.08
150129,0,0,0
150130,0.11,0.11,0.11
150131,0,0,0
150132,0.06,0.06,0.06
150133,0.1,0.1,0.1
150134,0,0,0
150135,0.08,0.08,0.08
150136,0,0,0
150137,0.06,0.06,0.06
150138,0,0,0
150139,0,0,0
150140,0.06,0.06,0.06
150141,0,0,0
150142,0.1,0.1,0.1
150143,0.16,0.16,0.16
150201,0.44,0.44,0.44
150202,0,0,0
150203,0.5,0.5,0.5
150204,0.33,0.33,0.33
150205,0,0,0
150301,0,0,0
150302,0,0,0
150303,0,0,0
150304,0,0,0
150305,0,0,0
150401,0,0,0
150402,0,0,0
150403,0,0,0
150404,0,0,0
150405,0,0,0
150406,0,0,0
150407,0,0,0
150501,0.8,0.8,0.8
150502,0,0,0
150503,0,0,0
150504,0,0,0
150505,0,0,0
150506,0,0,0
150507,0,0,0
150508,0,0,0
150509,0.8,0.8,0.8
150510,0,0,0
150511,0,0,0
150512,0,0,0
150513,0,0,0
150514,0,0,0
150515,0,0,0
150516,0,0,0
150601,0.22,0.22,0.22
150602,0,0,0
150603,0,0,0
150604,0,0,0
150605,0,0,0
150606,0,0,0
150607,0,0,0
150608,0,0,0
150609,0,0,0
150610,0,0,0
150611,0,0,0
150612,0,0,0
150701,1,1,1
150702,0,0,0
150703,0,0,0
150704,0,0,0
150705,0,0,0
150706,0,0,0
150707,0,0,0
150708,0,0,0
150709,0,0,0
150710,0,0,0
150711,0,0,0
150712,0,0,0
150713,0,0,0
150714,0,0,0
150715,0,0,0
150716,0,0,0
150717,0,0,0
150718,0,0,0
150719,0,0,0
150720,0,0,0
150721,0,0,0
150722,1,1,1
150723,0,0,0
150724,0,0,0
150725,0,0,0
150726,0,0,0
150727,0,0,0
150728,0,0,0
150729,0,0,0
150730,0,0,0
150731,0,0,0
150732,0,0,0
150801,0.11,0.11,0.11
150802,0,0,0
150803,0,0,0
150804,0,0,0
150805,0,0,0
150806,0.5,0.5,0.5
150807,1,1,1
150808,0,0,0
150809,0,0,0
150810,0,0,0
150811,0,0,0
150812,0.33,0.33,0.33
150901,0,0,0
150902,0,0,0
150903,0,0,0
150904,0,0,0
150905,0,0,0
150906,0,0,0
151001,0,0,0
151002,0,0,0
151003,0,0,0
151004,0,0,0
151005,0,0,0
151006,0,0,0
151007,0,0,0
151008,0,0,0
151009,0,0,0
151010,0,0,0
151011,0,0,0
151012,0,0,0
151013,0,0,0
151014,0,0,0
151015,0,0,0
151016,0,0,0
151017,0,0,0
151018,0,0,0
151019,0,0,0
151020,0,0,0
151021,0,0,0
151022,0,0,0
151023,0,0,0
151024,0,0,0
151025,0,0,0
151026,0,0,0
151027,0,0,0
151028,0,0,0
151029,0,0,0
151030,0,0,0
151031,0,0,0
151032,0,0,0
151033,0,0,0
160101,0.2,0.2,0.2
160102,0,0,0
160103,0,0,0
160104,0,0,0
160105,0,0,0
160106,0,0,0
160107,0,0,0
160108,0,0,0
160110,0,0,0
160112,0,0,0
160113,0,0,0
160201,0,0,0
160202,0,0,0
160205,0,0,0
160206,1,1,1
160210,0,0,0
160211,0,0,0
160301,1,1,1
160302,0,0,0
160303,0,0,0
160304,0,0,0
160305,0,0,0
160401,0,0,0
160402,0,0,0
160403,0,0,0
160404,0,0,0
160501,1,1,1
160502,0,0,0
160503,0,0,0
160504,0,0,0
160505,0,0,0
160506,0,0,0
160507,0,0,0
160508,0,0,0
